0	2	2
1	4	4
2	8	8
3	16	16
4	32	32
5	64	64
6	128	128
7	255	229
8	481	313
9	756	442
10	1044	552
11	1325	701
12	1709	865
13	2057	1046
14	2512	1217
15	2938	1408
16	3363	1614
17	3728	1818
18	4092	1951
19	4458	2130
20	4789	2222
21	5111	2409
22	5479	2573
23	5790	2729
24	6168	2841
25	6455	2924
26	6810	3082
27	7124	3115
28	7334	3149
29	7499	3126
30	7522	3207
31	7562	3238
32	7550	3220
33	7610	3235
34	7609	3168
35	7561	3192
36	7570	3237
37	7603	3195
38	7665	3189
39	7651	3178
40	7700	3156
41	7726	3157
42	7783	3178
43	7753	3103
44	7840	3140
45	7881	3144
46	7819	3035
47	7895	3080
48	7905	3033
49	8014	2985
50	7989	3019
51	8079	2965
52	8113	2948
53	8125	2938
54	8184	2932
55	8345	2892
56	8303	2861
57	8272	2842
58	8395	2859
59	8516	2774
60	8493	2750
61	8618	2681
62	8669	2653
63	8750	2676
64	8756	2683
65	8719	2625
66	8831	2638
67	8791	2637
68	8886	2608
69	8836	2616
70	8820	2650
71	8888	2564
72	8905	2624
73	8866	2567
74	8977	2568
75	9043	2526
76	9015	2524
77	8963	2498
78	9040	2515
79	9093	2463
80	9164	2473
81	9188	2468
82	9139	2464
83	9210	2392
84	9351	2410
85	9334	2353
86	9423	2331
87	9384	2355
88	9474	2335
89	9496	2268
90	9552	2286
91	9579	2288
92	9625	2254
93	9522	2306
94	9494	2289
95	9517	2293
96	9489	2309
97	9467	2284
98	9573	2237
99	9614	2255
100	9594	2199
101	9665	2257
102	9651	2239
103	9728	2183
104	9750	2192
105	9755	2161
106	9828	2138
107	9862	2124
108	9901	2112
109	9888	2105
110	9968	2057
111	9914	2084
112	10047	2049
113	10060	2049
114	10067	2010
115	10087	2049
116	10139	1966
117	10222	1997
118	10152	1943
119	10278	1905
120	10341	1916
121	10337	1897
122	10457	1833
123	10528	1814
124	10581	1808
125	10635	1743
126	10691	1705
127	10752	1734
128	10754	1690
129	10821	1677
130	10785	1682
131	10827	1639
132	10839	1670
133	10855	1642
134	10930	1648
135	11015	1571
136	11060	1568
137	11083	1545
138	11137	1521
139	11272	1495
140	11213	1474
141	11261	1457
142	11344	1476
143	11257	1427
144	11302	1454
145	11321	1395
146	11440	1419
147	11421	1372
148	11428	1378
149	11580	1312
150	11545	1327
151	11555	1297
152	11611	1274
153	11678	1279
154	11662	1267
155	11758	1225
156	11821	1233
157	11794	1203
158	11853	1195
159	11938	1148
160	11800	1194
161	11902	1155
162	11913	1156
163	11893	1172
164	11881	1176
165	11907	1139
166	11942	1146
167	11985	1109
168	11985	1097
169	11990	1084
170	12102	1076
171	12094	1075
172	12058	1067
173	12118	1072
174	12155	1026
175	12221	998
176	12238	1020
177	12229	986
178	12356	953
179	12379	902
180	12475	881
181	12518	854
182	12564	849
183	12623	855
184	12580	819
185	12655	792
186	12792	780
187	12747	757
188	12770	758
189	12714	706
190	12907	685
191	12933	680
192	12903	664
193	12973	657
194	12945	639
195	13126	583
196	13157	569
197	13159	584
198	13194	543
199	13297	499
200	13303	491
201	13274	490
202	13357	455
203	13395	465
204	13390	435
205	13495	393
206	13509	383
207	13614	383
208	13616	362
209	13569	348
210	13608	342
211	13652	322
212	13676	291
213	13793	279
214	13734	261
215	13835	233
216	13964	206
217	13893	205
218	13905	182
219	13981	174
220	14002	168
221	14005	150
222	14054	139
223	14112	115
224	14198	110
225	14147	104
226	14132	101
227	14249	80
228	14197	75
229	14177	67
230	14229	73
231	14140	64
232	14205	60
233	14244	55
234	14215	46
235	14274	49
236	14228	36
237	14335	33
238	14240	31
239	14286	20
240	14304	22
241	14295	14
242	14289	12
243	14297	9
244	14309	6
245	14401	7
246	14329	6
247	14257	8
248	14346	10
249	14268	9
250	14329	8
251	14309	9
252	14253	10
253	14301	13
254	14371	7
255	14336	7
